Symbol,Div yield % (indicated),Price,Change %,Volume,Rel Volume,Market cap,P/E,EPS dil TTM,EPS dil growth TTM YoY,Div yield % TTM,Sector,Analyst Rating
AHL Arif Habib Limited D,11.75%,82.62 PKR,−2.94%,19.78 K,0.39,5.56 B PKR,5.47,15.11 PKR,+547.60%,11.75%,Finance,No rating
PAKRI Pakistan Reinsurance Co. D,11.68%,16.49 PKR,−3.74%,221.62 K,0.72,15.42 B PKR,5.02,3.28 PKR,−19.90%,23.35%,Finance,No rating
OLPL OLP Financial Services Pakistan Limited D,11.58%,46.92 PKR,−1.22%,127.13 K,5.59,8.33 B PKR,6.45,7.27 PKR,−5.42%,11.58%,Finance,No rating
NCPL Nishat Chunian Power Limited D,11.52%,56.26 PKR,−7.39%,8.24 M,0.81,22.32 B PKR,16.45,3.42 PKR,—,11.52%,Utilities,Strong buy
ATIL Atlas Insurance Limited D,11.46%,73.88 PKR,−0.38%,36.31 K,1.10,11.08 B PKR,5.32,13.90 PKR,+9.96%,11.46%,Finance,No rating
OLPM OLP Modaraba D,11.37%,21.00 PKR,−4.50%,100.26 K,3.18,997.98 M PKR,6.09,3.45 PKR,−9.31%,11.37%,Finance,No rating
HMB Habib Metropolitan Bank Limited D,11.24%,104.99 PKR,−1.62%,204.42 K,0.41,111.82 B PKR,—,—,—,11.24%,Finance,Strong buy
BIPL BankIslami Pakistan Limited D,11.24%,23.95 PKR,−2.13%,348.97 K,0.49,27.13 B PKR,4.42,5.42 PKR,−49.26%,11.24%,Finance,No rating
INDU Indus Motor Co. Ltd. D,10.94%,"1,795.88 PKR",−0.25%,12.01 K,1.29,141.5 B PKR,5.48,327.65 PKR,+28.30%,10.44%,Consumer durables,Strong buy
EFUL EFU Life Assurance Limited D,10.56%,140.24 PKR,−1.31%,1.07 K,0.22,14.92 B PKR,6.03,23.26 PKR,−19.88%,10.56%,Finance,No rating
SCBPL Standard Chartered Bank (Pakistan) Limited D,10.49%,58.08 PKR,−6.31%,140.09 K,4.78,240 B PKR,7.81,7.43 PKR,−37.52%,14.52%,Finance,No rating
UBL United Bank Limited D,10.16%,336.81 PKR,−2.22%,1.63 M,1.20,862.59 B PKR,6.46,52.17 PKR,+69.94%,7.84%,Finance,Strong buy
HUBC Hub Power Co. Ltd. D,10.16%,194.35 PKR,−1.32%,4.71 M,1.07,255.46 B PKR,5.58,34.82 PKR,−25.94%,10.16%,Utilities,Buy
"CENI Century Insurance Co., Ltd. D",10.15%,58.36 PKR,−1.24%,8.39 K,0.98,3.27 B PKR,5.55,10.52 PKR,−2.93%,10.15%,Finance,No rating
PAKT Pakistan Tobacco Co. Ltd. D,10.00%,"1,194.26 PKR",−4.47%,8.18 K,0.54,319.39 B PKR,10.22,116.85 PKR,+7.46%,12.00%,Consumer non-durables,No rating
MCB MCB Bank Limited D,9.83%,361.70 PKR,−1.27%,1.17 M,1.55,434.15 B PKR,7.34,49.29 PKR,−7.61%,9.83%,Finance,Buy
BAHL Bank Al Habib Ltd. D,9.81%,150.69 PKR,−1.40%,242.53 K,0.66,169.86 B PKR,5.16,29.19 PKR,−22.58%,11.12%,Finance,Strong buy
